"filename", "language", "Python", "HTML", "pip requirements", "CSS", "Database", "JavaScript", "YAML", "comment", "blank", "total"
"c:\data\Gp_workplace\main\src\social\main\templates\main\notification.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\main\templates\main\notification_s.html", "HTML", 0, 285, 0, 0, 0, 0, 0, 2, 30, 317
"c:\data\Gp_workplace\main\src\social\main\templates\main\notifications.html", "HTML", 0, 131, 0, 0, 0, 0, 0, 0, 18, 149
"c:\data\Gp_workplace\main\src\social\main\templates\main\notify_page.html", "HTML", 0, 174, 0, 0, 0, 0, 0, 12, 13, 199
"c:\data\Gp_workplace\main\src\social\main\templates\main\post.html", "HTML", 0, 76, 0, 0, 0, 0, 0, 3, 9, 88
"c:\data\Gp_workplace\main\src\social\main\templates\main\post_2.html", "HTML", 0, 92, 0, 0, 0, 0, 0, 1, 12, 105
"c:\data\Gp_workplace\main\src\social\main\templates\main\profile.html", "HTML", 0, 651, 0, 0, 0, 0, 0, 15, 47, 713
"c:\data\Gp_workplace\main\src\social\main\templates\main\profile_2.html", "HTML", 0, 268, 0, 0, 0, 0, 0, 1, 15, 284
"c:\data\Gp_workplace\main\src\social\main\templates\main\search.html", "HTML", 0, 153, 0, 0, 0, 0, 0, 4, 8, 165
"c:\data\Gp_workplace\main\src\social\main\templates\main\settings.html", "HTML", 0, 404, 0, 0, 0, 0, 0, 12, 40, 456
"c:\data\Gp_workplace\main\src\social\main\templates\main\textarea.html", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\data\Gp_workplace\main\src\social\main\templates\main\uploadfile.html", "HTML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\data\Gp_workplace\main\src\social\main\templates\main\uploadfilegroup.html", "HTML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\data\Gp_workplace\main\src\social\main\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\main\templatetags\group_tags.py", "Python", 54, 0, 0, 0, 0, 0, 0, 1, 16, 71
"c:\data\Gp_workplace\main\src\social\main\templatetags\post_tags.py", "Python", 115, 0, 0, 0, 0, 0, 0, 6, 20, 141
"c:\data\Gp_workplace\main\src\social\main\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\main\urls.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\data\Gp_workplace\main\src\social\main\views.py", "Python", 752, 0, 0, 0, 0, 0, 0, 164, 73, 989
"c:\data\Gp_workplace\main\src\social\manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 5, 23
"c:\data\Gp_workplace\main\src\social\requirements.txt", "pip requirements", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\data\Gp_workplace\main\src\social\social\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\social\asgi.py", "Python", 14, 0, 0, 0, 0, 0, 0, 8, 4, 26
